EdgeBetweenness,interaction,name,selected,shared interaction,shared name,stringdb::coexpression,stringdb::cooccurrence,stringdb::databases,stringdb::experiments,stringdb::fusion,stringdb::interspecies,stringdb::neighborhood,stringdb::score,stringdb::textmining,source,target
225.9666666666667,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000371253,false,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000371253,0.067,,0.114,,,,0.057,0.422,0.347,9606.ENSP00000261733,9606.ENSP00000371253
179.93333333333334,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000323588,false,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000323588,,,,0.296,,,,0.423,0.215,9606.ENSP00000261733,9606.ENSP00000323588
82.0,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000440689,false,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000440689,0.058,,0.138,0.045,,,,0.857,0.837,9606.ENSP00000261733,9606.ENSP00000440689
82.0,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000426083,false,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000426083,0.186,,0.707,,0.001,,0.048,0.989,0.959,9606.ENSP00000261733,9606.ENSP00000426083
82.0,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000306606,false,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000306606,0.147,,0.707,,0.001,,0.048,0.995,0.984,9606.ENSP00000261733,9606.ENSP00000306606
68.30000000000001,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000379845,false,pp,9606.ENSP00000261733 (pp) 9606.ENSP00000379845,0.156,,0.918,0.099,,,0.055,0.945,0.209,9606.ENSP00000261733,9606.ENSP00000379845
2.0,pp,9606.ENSP00000221494 (pp) 9606.ENSP00000318861,false,pp,9606.ENSP00000221494 (pp) 9606.ENSP00000318861,0.134,,0.9,0.999,,,,0.999,0.951,9606.ENSP00000221494,9606.ENSP00000318861
2.0,pp,9606.ENSP00000221494 (pp) 9606.ENSP00000412566,false,pp,9606.ENSP00000221494 (pp) 9606.ENSP00000412566,0.143,,0.9,0.986,,,,0.999,0.282,9606.ENSP00000221494,9606.ENSP00000412566
45.98095238095238,pp,9606.ENSP00000221494 (pp) 9606.ENSP00000392094,false,pp,9606.ENSP00000221494 (pp) 9606.ENSP00000392094,0.166,,0.9,0.962,,,,0.998,0.519,9606.ENSP00000221494,9606.ENSP00000392094
14.742424242424242,pp,9606.ENSP00000219097 (pp) 9606.ENSP00000301019,false,pp,9606.ENSP00000219097 (pp) 9606.ENSP00000301019,0.266,,0.8,0.292,,,,0.997,0.982,9606.ENSP00000219097,9606.ENSP00000301019
2.0,pp,9606.ENSP00000219097 (pp) 9606.ENSP00000441953,false,pp,9606.ENSP00000219097 (pp) 9606.ENSP00000441953,0.113,,0.9,0.998,,,,0.999,0.998,9606.ENSP00000219097,9606.ENSP00000441953
67.25757575757575,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000216122,false,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000216122,0.731,,0.5,0.973,,,,0.999,0.923,9606.ENSP00000209728,9606.ENSP00000216122
2.0,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000441953,false,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000441953,0.1,,0.9,0.966,,,,0.999,0.922,9606.ENSP00000209728,9606.ENSP00000441953
2.0,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000219097,false,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000219097,0.261,,0.9,0.928,,,,0.999,0.989,9606.ENSP00000209728,9606.ENSP00000219097
14.742424242424242,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000301019,false,pp,9606.ENSP00000209728 (pp) 9606.ENSP00000301019,0.88,,0.8,0.993,,,,0.999,0.998,9606.ENSP00000209728,9606.ENSP00000301019
13.483333333333336,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000272645,false,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000272645,0.072,,0.9,0.998,,,,0.999,0.982,9606.ENSP00000219252,9606.ENSP00000272645
52.77497853024169,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000258648,false,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000258648,0.127,,,0.883,,,,0.907,0.155,9606.ENSP00000219252,9606.ENSP00000258648
53.1702166254798,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000297347,false,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000297347,0.058,,,0.866,,,,0.895,0.239,9606.ENSP00000219252,9606.ENSP00000297347
123.73302574618364,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000392094,false,pp,9606.ENSP00000219252 (pp) 9606.ENSP00000392094,0.638,,,0.194,,,0.095,0.769,0.23,9606.ENSP00000219252,9606.ENSP00000392094
